timestamp,retrieved,channel,kind,detail,clock_ok
,2024-06-11,err,restart_marker,line 2173,0
,2024-06-11,err,restart_marker,line 436,0
,2024-06-11,err,restart_marker,line 1262,0
,2024-06-11,err,restart_marker,line 952,0
,2024-06-11,err,restart_marker,line 963,0
,2024-06-11,err,restart_marker,line 3625,0
,2024-06-11,err,restart_marker,line 3930,0
,2024-06-11,err,restart_marker,line 1146,0
,2024-06-11,err,restart_marker,line 3527,0
,2024-06-11,err,restart_marker,line 2325,0
,2024-06-11,err,restart_marker,line 4041,0
,2024-06-11,err,restart_marker,line 77,0
,2024-06-11,err,restart_marker,line 2441,0
,2024-06-11,err,restart_marker,line 455,0
,2024-06-11,err,restart_marker,line 1798,0
,2024-06-11,err,restart_marker,line 3183,0
,2024-06-11,err,restart_marker,line 3481,0
,2024-06-11,err,restart_marker,line 730,0
,2024-06-11,err,restart_marker,line 113,0
,2024-06-11,err,restart_marker,line 2128,0
,2024-06-11,err,restart_marker,line 3365,0
,2024-06-11,err,restart_marker,line 3039,0
,2024-06-11,err,restart_marker,line 699,0
,2024-06-11,err,restart_marker,line 315,0
,2024-06-11,err,restart_marker,line 4181,0
,2024-06-11,err,restart_marker,line 2215,0
,2024-06-11,err,restart_marker,line 3303,0
,2024-06-11,err,restart_marker,line 2249,0
,2024-06-11,err,restart_marker,line 666,0
,2024-06-11,err,restart_marker,line 1487,0
,2024-06-11,err,restart_marker,line 1265,0
,2024-06-11,err,restart_marker,line 626,0
,2024-06-11,err,restart_marker,line 1723,0
,2024-06-11,err,restart_marker,line 3447,0
,2024-06-11,err,restart_marker,line 1640,0
,2024-06-11,err,restart_marker,line 395,0
,2024-06-11,err,restart_marker,line 200,0
,2024-06-11,err,restart_marker,line 350,0
,2024-06-11,err,restart_marker,line 10,0
,2024-06-11,err,restart_marker,line 1461,0
,2024-06-11,err,restart_marker,line 1064,0
,2024-06-11,err,restart_marker,line 697,0
,2024-06-11,err,restart_marker,line 811,0
,2024-06-11,err,restart_marker,line 1565,0
,2024-06-11,err,restart_marker,line 1422,0
,2024-06-11,err,restart_marker,line 1682,0
,2024-06-11,err,restart_marker,line 1224,0
